Filename, Dimension , True lagest Eigen Value, Eigen Value from Power method, Absolute Error, Relative Error for largest Eigen Value, True smallest Eigen Value, Smallest eigen value from double power method, Relative error for smallest Eigen value, Condition No. from power method, True Condition number, Relative error for condition no., Symmetric? 
bcsstm02.mat,66,-0.172829,0.172829,0,0,0.019747,0.019747,0.00E+00,8.75217,8.75217,0,1
bcsstm09.mat,1083,-0.000259,0.000259,0,0,0,0,0.00E+00,10000,10000,0,1
bcsstm21.mat,3600,-0.000147,0.000147,0,0,0.000006,0.000006,0.00E+00,23.715415,23.715415,0,1
G63.mat,7000,-33.382007,28.304218,5.077789,0.152112,-22.486555,-21.415769,4.76E-02,1.321653,3792990.39,1,1
G39.mat,2000,-16.153899,-11.199914,4.953986,0.306674,-16.153899,15.289874,5.35E-02,0.732505,1306090.112,0.999999,1
G58.mat,5000,-32.119277,26.897878,5.221399,0.162563,-21.78563,-20.426304,6.24E-02,1.316826,13401344.14,1,1
G36.mat,2000,-26.95482,23.673641,3.281179,0.121729,-16.250343,-15.140866,6.83E-02,1.563559,463996.0334,0.999997,1
can_715.mat,715,-15.310151,13.864443,1.445708,0.094428,-7.467151,-6.954554,6.86E-02,1.993578, Inf, NaN,1
can_292.mat,292,-12.163922,10.950062,1.21386,0.099792,-7.012197,-6.468963,7.75E-02,1.692707, Inf, NaN,1
arc130.mat,130,-2.367365,1.731398,0.635967,0.268639,0.794859,0.726262,8.63E-02,2.383984,10798708075,1,0
can_256.mat,256,-16.037403,15.790641,0.246762,0.015387,-6.039231,-5.493913,9.03E-02,2.874207, Inf, NaN,1
G21.mat,800,-13.120183,-12.698252,0.421931,0.032159,-12.87271,11.710088,9.03E-02,1.084386,311844.3394,0.999997,1
bcsstm11.mat,1473,-31.578145,31.578145,0,0,0.000267,0.000292,9.49E-02,108000,118248.1752,0.086667,1
G37.mat,2000,-27.146532,24.745468,2.401064,0.088448,-14.974674,-13.469079,1.01E-01,1.837206,6013089.02,1,1
mesh1em1.mat,48,-29.69623,25.524843,4.171387,0.140469,1.563125,1.72621,1.04E-01,14.786642,34.019149,0.565344,1
G15.mat,800,-23.15137,21.926281,1.225089,0.052916,-10.854063,-9.569895,1.18E-01,2.291173,21176577.43,1,1
G33.mat,2000,-3.487011,3.467483,0.019528,0.0056,-3.487011,-3.071762,1.19E-01,1.128825,22878.15256,0.999951,1
pfinan512.mat,74752,-13.741559,12.989401,0.752158,0.054736,-6.937973,-6.029496,1.31E-01,2.15431, Inf, NaN,1
G52.mat,1000,-23.69635,22.669933,1.026416,0.043315,-11.557008,-10.005037,1.34E-01,2.265852,125304.4633,0.999982,1
dwt_72.mat,72,-3.492317,3.581433,0.089116,0.025518,-1.492317,-1.291734,1.34E-01,2.772577, Inf, NaN,1
G38.mat,2000,-27.098175,25.669577,1.428598,0.052719,-14.178075,-12.161516,1.42E-01,2.110722,393323.1518,0.999995,1
G56.mat,5000,-4.994132,4.182199,0.811933,0.162577,-4.993785,-4.273314,1.44E-01,0.978678, Inf, NaN,1
can_229.mat,229,-8.696485,8.301374,0.395112,0.045433,-3.453787,-2.949716,1.46E-01,2.814296, Inf, NaN,1
G14.mat,800,-22.427689,21.538817,0.888873,0.039633,-10.202365,-8.699688,1.47E-01,2.475815,64518.00266,0.999962,1
G51.mat,1000,-24.497202,23.237982,1.25922,0.051403,-11.161616,-9.508874,1.48E-01,2.44382,212599.2112,0.999989,1
G66.mat,9000,-3.582068,3.260461,0.321607,0.089783,-3.582068,-3.038865,1.52E-01,1.07292,137054.2521,0.999992,1
G26.mat,2000,-21.092966,21.567868,0.474902,0.022515,-9.077931,-7.63853,1.59E-01,2.823563,68995.60203,0.999959,1
G13.mat,800,-3.555232,3.142908,0.412324,0.115977,-3.555232,-2.966688,1.66E-01,1.0594,24663.19531,0.999957,1
ash85.mat,85,-6.721547,6.462575,0.258972,0.038529,-1.926605,-1.603985,1.67E-01,4.029073,1928.585673,0.997911,1
G65.mat,8000,-3.54267,3.350173,0.192497,0.054337,-3.54267,-2.929477,1.73E-01,1.143608,191405.5861,0.999994,1
bcsstk32.mat,44609,75.194238,64.506794,10.687444,0.142131,-32.262432,-26.54312,1.77E-01,2.430264, Inf, NaN,1
G30.mat,2000,-9.239506,-8.40981,0.829696,0.089799,-9.239506,7.595213,1.78E-01,1.107251,48306.27933,0.999977,1
can_24.mat,24,-7.335568,7.408627,0.073059,0.00996,-2.0995,-1.723316,1.79E-01,4.299053,135,0.968155,1
G57.mat,5000,-3.556619,-3.520993,0.035626,0.010017,-3.556619,2.912616,1.81E-01,1.208876,33743.51249,0.999964,1
G28.mat,2000,-9.101291,-8.044016,1.057275,0.116168,-9.101291,7.42791,1.84E-01,1.082945,81463.14562,0.999987,1
bcspwr03.mat,118,-5.105303,5.07367,0.031634,0.006196,-2.347823,-1.914842,1.84E-01,2.649655,1947.272727,0.998639,1
G53.mat,1000,-23.853648,23.361536,0.492112,0.02063,-10.495349,-8.522867,1.88E-01,2.741042,163016.9917,0.999983,1
lshp_577.mat,577,-6.947781,6.735938,0.211843,0.030491,-1.97139,-1.596711,1.90E-01,4.218632,16017.46424,0.999737,1
G12.mat,800,-3.556113,3.049809,0.506304,0.142376,-3.556113,-2.870769,1.93E-01,1.062366,2826.943782,0.999624,1
lshp1561.mat,1561,-6.980081,6.779786,0.200296,0.028695,-1.98917,-1.605324,1.93E-01,4.223313,45273.67001,0.999907,1
sphere3.mat,258,-6.972454,6.651726,0.320728,0.045999,-1.98941,-1.593211,1.99E-01,4.175045,3.13383E+17,1,1
G34.mat,2000,-3.5962,3.10408,0.49212,0.136844,-3.5962,-2.879301,1.99E-01,1.078067,18656.40772,0.999942,1
dwt_234.mat,234,-4.583099,4.269796,0.313303,0.06836,-2.490724,-1.987863,2.02E-01,2.147933,1180,0.99818,1
bcspwr08.mat,1624,-5.785906,5.658344,0.127562,0.022047,-3.096344,-2.468514,2.03E-01,2.292206, Inf, NaN,1
fv2.mat,9801, NaN,4.396266, NaN, NaN,0.512024,0.616488,2.04E-01,7.131148,12.763553,0.441288,1
G11.mat,800,-3.446461,-3.086031,0.36043,0.10458,-3.446461,2.742568,2.04E-01,1.125234,17422.76921,0.999935,1
G17.mat,800,-22.669946,22.040091,0.629856,0.027784,-10.452615,-8.298086,2.06E-01,2.656045,6256895.509,1,1
G61.mat,7000,-4.903761,-3.975827,0.927934,0.189229,-4.879495,3.86603,2.08E-01,1.0284, Inf, NaN,1
can_144.mat,144,-9.88494,9.718979,0.165961,0.016789,-2.192976,-1.737266,2.08E-01,5.594411, Inf, NaN,1
commanche_dual.mat,7920,-4,3.845445,0.154555,0.038639,-1.938718,-1.531164,2.10E-01,2.511452,41476.30967,0.999939,1
G6.mat,800,-13.921016,10.07923,3.841786,0.27597,-13.921016,-10.900035,2.17E-01,0.924697,42163.95746,0.999978,1
G60.mat,7000,-6.08378,5.747527,0.336253,0.05527,-4.899285,-3.832429,2.18E-01,1.499708, Inf, NaN,1
G64.mat,7000,-24.881037,51.67271,26.791673,1.076791,-24.881037,-19.438789,2.19E-01,2.658227,8690121.922,1,1
barth.mat,6691,-7.318305,7.518188,0.199883,0.027313,-2.268263,-1.771956,2.19E-01,4.242876,103584.2663,0.999959,1
lshp3466.mat,3466,-6.990892,6.739303,0.251588,0.035988,-1.995077,-1.557404,2.19E-01,4.327267,117236.1505,0.999963,1
G35.mat,2000,-26.911214,25.700893,1.210321,0.044975,-13.194156,-10.290735,2.20E-01,2.497479,274395.4124,0.999991,1
jagmesh1.mat,936,-6.905596,6.62702,0.278577,0.040341,-1.953585,-1.521625,2.21E-01,4.355224,2883.4246,0.99849,1
G20.mat,800,-12.736344,12.488412,0.247932,0.019466,-12.736344,-9.903689,2.22E-01,1.260986,11278601.44,1,1
dwt_162.mat,162,-8.131846,8.157763,0.025917,0.003187,-2.572977,-1.991035,2.26E-01,4.097247, Inf, NaN,1
bcspwr05.mat,443,-5.178281,5.002707,0.175574,0.033906,-2.485184,-1.921524,2.27E-01,2.60351, Inf, NaN,1
blckhole.mat,2132,-8.231003,8.623423,0.39242,0.047676,-3.314433,-2.556044,2.29E-01,3.373738,47051.38846,0.999928,1
G29.mat,2000,-9.163802,-8.817051,0.346751,0.037839,-9.163802,7.061953,2.29E-01,1.248529,94994.33522,0.999987,1
ex5.mat,6545,-45.259149,44.670316,0.588833,0.01301,-12,-9.241165,2.30E-01,4.833841,1.06679E+19,1,1
jagmesh4.mat,1440,-6.864864,6.599038,0.265826,0.038723,-1.936196,-1.490501,2.30E-01,4.427397,33216.57377,0.999867,1
G42.mat,2000,-16.940786,-6.286297,10.654489,0.628925,-16.940786,13.02087,2.31E-01,0.482786,744685.6356,0.999999,1
dwt_87.mat,87,-7.713552,7.9124,0.198849,0.025779,-2.426811,-1.863005,2.32E-01,4.247116,354.929086,0.988034,1
pct20stif.mat,52329,-71.193077,76.979345,5.786268,0.081276,-25.653965,-19.653287,2.34E-01,3.916869, Inf, NaN,1
G49.mat,3000,-4,3.857429,0.142571,0.035643,-4,-3.061988,2.35E-01,1.259779,2.76094E+19,1,1
dwt_361.mat,361,-8.807722,8.572939,0.234782,0.026656,-2.908099,-2.205543,2.42E-01,3.886997,3.22227E+17,1,1
lshp1270.mat,1270,-6.975644,6.747192,0.228452,0.03275,-1.986735,-1.504325,2.43E-01,4.485195,66062.05523,0.999932,1
G50.mat,3000,-4,3.840084,0.159916,0.039979,-3.984229,-3.010597,2.44E-01,1.275522,1.64982E+20,1,1
bcsstm05.mat,153,-0.927954,0.841141,0.086813,0.093553,0.073078,0.09107,2.46E-01,9.236191,12.698148,0.272635,1
G16.mat,800,-22.622754,22.117591,0.505164,0.02233,-10.284936,-7.72929,2.48E-01,2.86153,232484.001,0.999988,1
G7.mat,800,-13.888787,15.199807,1.311021,0.094394,-13.842383,-10.376435,2.50E-01,1.464839,195140.6156,0.999992,1
G18.mat,800,-12.830695,12.633814,0.196881,0.015345,-12.830695,-9.597663,2.52E-01,1.316343,293467.5716,0.999996,1
G46.mat,1000,-20.938861,20.891739,0.047122,0.00225,-8.958686,-6.68105,2.54E-01,3.127014,177520.3057,0.999982,1
G62.mat,7000,-3.58199,-3.020129,0.561861,0.156857,-3.58199,2.667538,2.55E-01,1.132178,33412.33919,0.999966,1
G32.mat,2000,-3.480552,-3.751654,0.271102,0.07789,-3.480552,2.579212,2.59E-01,1.454574,11975.30343,0.999879,1
dwt_59.mat,59,-4.966416,5.240787,0.274371,0.055245,-2.025941,-1.501265,2.59E-01,3.490914,324.923077,0.989256,1
bcspwr07.mat,1612,-5.665168,5.860663,0.195495,0.034508,-3.073371,-2.27116,2.61E-01,2.580472, Inf, NaN,1
G10.mat,800,-13.87462,11.623544,2.251077,0.162244,-13.763367,-10.139771,2.63E-01,1.146332,57366.91282,0.99998,1
dwt_492.mat,492,-7.806194,7.868036,0.061842,0.007922,-2.646126,-1.949408,2.63E-01,4.036116, Inf, NaN,1
G54.mat,1000,-23.908201,23.433786,0.474415,0.019843,-10.505495,-7.702122,2.67E-01,3.042511,165958.7643,0.999982,1
pwt.mat,36519,-9.905274,10.049993,0.144719,0.01461,-3.894939,-2.850044,2.68E-01,3.526259, Inf, NaN,1
G25.mat,2000,-21.063571,21.228256,0.164685,0.007818,-9.100774,-6.627216,2.72E-01,3.203194,22542.15113,0.999858,1
Alemdar.mat,6245,-69.518776,69.339274,0.179503,0.002582,-36.031432,-26.211776,2.73E-01,2.645348,134032.4875,0.99998,1
G41.mat,2000,-17.878436,-15.587594,2.290842,0.128134,-17.162643,12.482171,2.73E-01,1.248789,2000709.158,0.999999,1
G19.mat,800,-13.645716,-8.069224,5.576493,0.408663,-13.390274,9.668575,2.78E-01,0.834582,95077.35536,0.999991,1
jagmesh9.mat,1349,-6.954292,6.628402,0.32589,0.046862,-1.977376,-1.423783,2.80E-01,4.655487,14870.76838,0.999687,1
jagmesh8.mat,1141,-6.814747,6.769661,0.045086,0.006616,-1.920028,-1.377132,2.83E-01,4.915767,58947.88261,0.999917,1
G67.mat,10000,-3.565885,-3.003815,0.56207,0.157624,-3.565885,2.553196,2.84E-01,1.176492,1079150.2,0.999999,1
lshp_778.mat,778,-6.960833,6.643981,0.316852,0.045519,-1.978593,-1.415156,2.85E-01,4.694875,14588.69124,0.999678,1
G31.mat,2000,-9.244205,-8.42013,0.824075,0.089145,-9.244205,6.511385,2.96E-01,1.29314,35113.5163,0.999963,1
sphere2.mat,66,-6.877074,6.538816,0.338259,0.049186,-1.952854,-1.369779,2.99E-01,4.773627,1.85652E+16,1,1
dwt_245.mat,245,-8.524734,7.946965,0.577769,0.067776,-3.315024,-2.293046,3.08E-01,3.46568, Inf, NaN,1
bcsstk31.mat,35588,-57.969063,56.385951,1.583112,0.02731,-20.39579,-14.044533,3.11E-01,4.014797, Inf, NaN,1
G45.mat,1000,-20.972694,21.132218,0.159524,0.007606,-8.98956,-6.186487,3.12E-01,3.415867,19080.56024,0.999821,1
G55.mat,5000,-6.231138,6.392345,0.161207,0.025871,-5.035139,-3.455696,3.14E-01,1.8498, Inf, NaN,1
ex4.mat,1601,-1.568548,1.443783,0.124765,0.079542,-0.423107,-0.289466,3.16E-01,4.987743,5174.176637,0.999036,1
barth5.mat,15606,-7.109776,7.236326,0.126551,0.0178,-2.106578,-1.421367,3.25E-01,5.091102,84364.38234,0.99994,1
bcspwr10.mat,5300,-6.815356,7.031843,0.216487,0.031765,-3.086803,-2.082583,3.25E-01,3.376502, Inf, NaN,1
lshp1882.mat,1882,-6.983409,6.665342,0.318067,0.045546,-1.990991,-1.34154,3.26E-01,4.968426,8145.141973,0.99939,1
G8.mat,800,-13.955714,-9.625227,4.330487,0.310302,-13.955714,9.286979,3.35E-01,1.036422,190717.1844,0.999995,1
bcspwr09.mat,1723,5.971265,6.34389,0.372625,0.062403,-3.117494,-2.065848,3.37E-01,3.070841, Inf, NaN,1
G22.mat,2000,-21.076079,20.989148,0.086931,0.004125,-9.115218,-6.011503,3.40E-01,3.491498,151710.0987,0.999977,1
G27.mat,2000,-9.171899,6.700671,2.471228,0.269435,-9.171899,-6.028334,3.43E-01,1.111529,74974.98571,0.999985,1
jagmesh7.mat,1138,-6.844462,6.552025,0.292437,0.042726,-1.928078,-1.264605,3.44E-01,5.181085,30749.48957,0.999832,1
G1.mat,800,-48.787494,48.91119,0.123695,0.002535,-13.274152,-8.649436,3.48E-01,5.654841,915360.7226,0.999994,1
G9.mat,800,-13.923868,12.045182,1.878686,0.134926,-13.923868,-9.048654,3.50E-01,1.331157,64907.88495,0.999979,1
can_62.mat,62,-4.15908,4.028682,0.130398,0.031353,-1.770711,-1.145095,3.53E-01,3.518207,1768.307692,0.99801,1
bcspwr02.mat,49,-4.308565,4.274151,0.034414,0.007987,-1.869369,-1.206286,3.55E-01,3.543232, Inf, NaN,1
can_61.mat,61,-10.946709,10.832146,0.114563,0.010465,-2.437274,-1.57139,3.55E-01,6.893354, Inf, NaN,1
dwt_607.mat,607,-10.055887,10.619493,0.563606,0.056047,-3.483017,-2.238155,3.57E-01,4.744752, Inf, NaN,1
