Filename, Dimension, True largest Eigen Value, Eigen Value from Power method, Absolute Error, Relative Error for largest Eigen Value, True smallest Eigen Value, Smallest eigen value from double power method, Relative error for smallest Eigen value, Condn No. from lamda_max/lamda_min, True Condn no. (condest(A 2)), condest(A 1), cond(A 2), cond(A 1), Relative error for condition no., Symmetric? 
bcsstm02.mat,66,0.172829,0.172829,0,0,0.172829,0.019747,0.885743,8.75217,8.75217,8.75217,8.75217,8.75217,0.00E+00,1
bcsstm06.mat,420,7602.410228,7602.410228,0,0,7602.41019,0.002199,1,3457080.18,3457080.18,3457080.18,3457080.18,3457080.18,0.00E+00,1
bcsstm09.mat,1083,0.000259,0.000259,0,0,0.000259,0,0.9999,10000,10000,10000,10000,10000,0.00E+00,1
bcsstm11.mat,1473,31.578145,31.578145,0,0,31.578145,0.000267,0.999992,118248.1752,118248.1752,118248.1752,118248.1752,118248.1752,0.00E+00,1
bcsstm21.mat,3600,0.000147,0.000147,0,0,0.000147,0.000006,0.957833,23.715415,23.715415,23.715415,23.715415,23.715415,0.00E+00,1
bcsstm05.mat,153,0.927954,0.927954,0,0,0.841141,0.073677,0.912408,12.594908,12.698148,12.698148,12.698148,12.698148,8.13E-03,1
mesh3em5.mat,289, NaN,4.835477, NaN, NaN, NaN,1.136258, NaN,4.255617,5.000004,5.000004,5.000004,5.000004,1.49E-01,1
nos6.mat,675,7650603.314,6207505.273,1443098.041,0.188625,6954450.741,1.007674,1,6160233.106,8000001,8000001,8000001,8000001,2.30E-01,1
nasa2146.mat,2146,32728163.66,26710187.19,6017976.476,0.183878,31049851.89,-8399.096618,0.999729,3180.126197,4130.267882,4361.999992,3243.362562,4423.440538,2.30E-01,1
ex37.mat,3565,179.538657,169.887344,9.651313,0.053756,147.210879,1,0.993207,169.887344,226.374483,226.374483,226.374483,226.374483,2.50E-01,0
bfwb398.mat,398,-0.000032,-0.00003,0.000001,0.043113,0.00003,-0.000001,0.959279,24.93796,36.405611,36.405611,36.405611,36.405611,3.15E-01,1
swang1.mat,3169,0.019705,0.017347,0.002358,0.11967,0.019517,0.003911,0.799609,4.435328,6.762089,6.762089,6.762089,6.762089,3.44E-01,0
mesh2em5.mat,306,247.484589,247.154139,0.33045,0.001335,82.201869,1.298088,0.984209,190.39856,292.648781,292.648781,292.648843,292.648843,3.49E-01,1
swang2.mat,3169,0.024593,0.033002,0.008409,0.341939,0.023653,0.004112,0.826144,8.025389,12.76946,12.76946,12.76946,12.76946,3.72E-01,0
bcsstk16.mat,4884,4943165634,4396543315,546622318.8,0.110581,3461682320,1,1,4396543315,7008379366,7008379366,7008379366,7008379366,3.73E-01,1
dw256B.mat,512,0.977909,0.951883,0.026027,0.026615,0.947757,0.346023,0.634904,2.750925,4.504663,4.504663,4.504663,4.504663,3.89E-01,0
bfwb782.mat,782,-0.000023,-0.000023,0.000001,0.032568,0.000023,-0.000001,0.942567,17.378222,30.488509,30.488509,30.488509,30.488509,4.30E-01,1
thermal.mat,3456,1.323312,1.092637,0.230675,0.174316,1.319789,0.121863,0.907664,8.966075,15.849771,15.849771,15.849771,15.849771,4.34E-01,0
fv2.mat,9801, NaN,4.398186, NaN, NaN, NaN,0.62163, NaN,7.075251,12.763553,12.763553,12.763553,12.763553,4.46E-01,1
mesh3e1.mat,289,8.927724,8.513983,0.413741,0.046343,8.646137,1.772693,0.794973,4.802852,9,9,9,9,4.66E-01,1
rajat03.mat,7602,510.206002,510.206381,0.000378,0.000001,510.206002,0.00004,1,12682403.35,24818976.2,24818976.2,24818976.2,24818976.2,4.89E-01,0
fv1.mat,9604, NaN,4.416871, NaN, NaN, NaN,0.707494, NaN,6.242978,12.761201,12.761201,12.761201,12.761201,5.11E-01,1
mesh1em1.mat,48,29.69623,25.793098,3.903132,0.131435,22.696972,1.557239,0.93139,16.563355,34.019149,34.019149,34.019149,34.019149,5.13E-01,1
mesh1e1.mat,48,9.134158,9.149839,0.015681,0.001717,7.602625,2.421124,0.681541,3.779171,8.199176,7.247667,8.199176,7.838658,5.39E-01,1
mesh1em6.mat,48,7.205989,7.512455,0.306465,0.042529,5.182155,1.79424,0.653766,4.186985,9.302628,8.977872,9.302628,9.302628,5.50E-01,1
cage4.mat,9,1,1.066741,0.066741,0.066741,0.5,0.07021,0.85958,15.193599,37.864339,37.864339,37.864339,37.864339,5.99E-01,0
bfwb62.mat,62,-0.000176,-0.000177,0.000002,0.009179,0.000136,-0.000016,0.880712,10.910165,31.145907,31.145907,31.145907,31.145907,6.50E-01,1
ex29.mat,2870,1,1,0,0,1,0.003571,0.996429,280.041486,885.246068,885.246068,885.246068,885.246068,6.84E-01,0
pivtol.mat,102,0.845276,0.839799,0.005477,0.00648,0.068676,0.030809,0.551382,27.258016,90.586401,90.586401,90.586401,90.586401,6.99E-01,0
bcsstm08.mat,1074,1444061.029,1444061.029,0,0,100068.4687,0.639978,0.999994,2256423.451,8266217.207,8266217.207,8266217.207,8266217.207,7.27E-01,1
pde225.mat,225,8.329747,7.959836,1.011917,0.112789,7.962937,0.320372,0.959767,24.845607,103.901317,103.901317,103.901317,103.901317,7.61E-01,0
bcsstm39.mat,46772,27.711,27.711,0,0,27.711,0.014685,0.99947,1887.027579,8270.952722,8270.952722,8270.952722,8270.952722,7.72E-01,1
bcsstm19.mat,817,39545184.07,38686342.45,858841.625,0.021718,22047324.25,767.046219,0.999965,50435.47765,233734.4207,233734.4207,233734.4207,233734.4207,7.84E-01,1
bcsstm07.mat,420,2510.39711,2379.182975,131.214135,0.052268,2468.229297,0.945754,0.999617,2515.646433,13365.40106,12404.21723,13365.40106,13365.40106,8.12E-01,1
bcsstm20.mat,485,47795550.62,47795550.62,0,0,12198592.7,1122.925063,0.999908,42563.4374,255380.6244,255380.6244,255380.6244,255380.6244,8.33E-01,1
crystm01.mat,4875,0,0,0,0.006402,0,0,0.984867,70.095031,421.1714,421.1714,421.1714,421.1714,8.34E-01,1
cage5.mat,37,1,1.031293,0.031293,0.031293,0.796847,0.158981,0.800488,6.486899,39.712728,36.90791,39.712728,39.712728,8.37E-01,0
cage6.mat,93,1,1.047135,0.047135,0.047135,0.943107,0.168075,0.821785,6.230148,39.529817,39.529817,39.529817,39.529817,8.42E-01,0
crystm02.mat,13965,0,0,0,0.007801,0,0,0.984633,67.80051,448.911652,448.911652,448.911652,448.911652,8.49E-01,1
cage3.mat,5,1,1.023144,0.023144,0.023144,0.061845,0.342668,4.540801,2.985815,22.581192,22.581192,22.581192,22.581192,8.68E-01,0
mesh2e1.mat,306,381.300609,382.101337,0.800728,0.0021,232.869243,7.778557,0.966597,49.122392,420.94564,424.327711,419.265884,419.265884,8.83E-01,1
cage7.mat,340,1,1.052317,0.052317,0.052317,0.986394,0.179944,0.817574,5.848041,52.621359,52.621359,52.621359,52.621359,8.89E-01,0
cage9.mat,3534,1,1.112367,0.112367,0.112367,0.997441,0.141501,0.858136,7.861174,72.371829,72.371829,72.371829,72.371829,8.91E-01,0
pde900.mat,900,9.442875,8.125874,1.473994,0.153543,8.789818,0.270314,0.969247,30.060866,292.977066,292.977066,292.977066,292.977066,8.97E-01,0
poisson2D.mat,367,0.88757,0.78405,0.10352,0.116633,0.844945,0.031666,0.962524,24.76038,248.055886,248.055886,248.055886,248.055886,9.00E-01,0
adder_trans_02.mat,1814,7.192184,7.213747,0.021563,0.002998,1.022088,0.00738,0.992779,977.437971,10510.58623,10510.58623,10510.58623,10510.58623,9.07E-01,0
bcsstm22.mat,138,0.009738,0.009738,0,0,0.009738,0.000114,0.988264,85.207499,941.294648,941.294648,941.294648,941.294648,9.09E-01,1
cage8.mat,1015,1,1.04779,0.04779,0.04779,0.98897,0.212527,0.785103,4.930158,58.23841,58.23841,58.23841,58.23841,9.15E-01,0
gr_30_30.mat,900,11.95906,10.203205,1.755855,0.146822,11.878436,0.367819,0.969035,27.739722,377.233354,377.233354,377.233354,377.233354,9.26E-01,1
orsirr_2.mat,886,-430234.3534,-411442.579,18791.77434,0.043678,370927.0361,-39.33753,0.999894,10459.28873,167158.8207,167158.8207,167158.8207,167158.8207,9.37E-01,0
cage10.mat,11397,1,1.113967,0.113967,0.113967,0.998125,0.235823,0.763734,4.723737,79.85158,79.85158,79.85158,30.175917,9.41E-01,0
nos7.mat,729,9864030.3,8082494.841,1781535.459,0.180609,6836226.639,0.034934,1,231364630.8,4054067752,4054067752,4054067752,4054067752,9.43E-01,1
bfwa62.mat,62,9.217945,7.504292,1.713652,0.185904,7.529843,-0.09843,0.986928,76.239874,1476.150742,1476.150742,1476.150742,1476.150742,9.48E-01,0
orsreg_1.mat,2205,-27461.01518,-27639.3725,178.357315,0.006495,27458.42727,-35.597171,0.998704,776.448577,15394.36663,15394.36663,15394.36663,15394.36663,9.50E-01,0
poli.mat,4008,1.912688,1.235793,0.676895,0.353897,1.549945,0.390532,0.748035,3.164387,63.993375,63.993375,63.993375,63.993375,9.51E-01,0
gre_115.mat,115,1,1.017356,0.017356,0.017356,0.952404,-0.153395,0.838939,6.63227,152.051235,152.051235,152.051235,152.051235,9.56E-01,0
rdb5000.mat,5000,-170.067531,-144.109219,25.958313,0.152635,169.437045,-0.849428,0.994987,169.654505,4086.247965,4086.247965,4920.657625,4739.505555,9.58E-01,0
