=== Re-evaluation on test set ===

User supplied test set
Relation:     testSetPetscBratu
Instances:     unknown (yet). Reading incrementally
Attributes:   7

=== Predictions on test set ===

inst#,    actual, predicted, error, probability distribution
     1          ?      2:bad      +   0.46  *0.54 
     2          ?      2:bad      +   0.46  *0.54 
     3          ?      2:bad      +   0.482 *0.518
     4          ?      2:bad      +   0.472 *0.528
     5          ?      2:bad      +   0.48  *0.52 
     6          ?      2:bad      +   0.471 *0.529
     7          ?      2:bad      +   0.471 *0.529
     8          ?      2:bad      +   0.471 *0.529
     9          ?      2:bad      +   0.471 *0.529
    10          ?      2:bad      +   0.471 *0.529
    11          ?      2:bad      +   0.46  *0.54 
    12          ?      2:bad      +   0.461 *0.539
    13          ?      2:bad      +   0.471 *0.529
    14          ?      2:bad      +   0.471 *0.529
    15          ?      2:bad      +   0.461 *0.539
    16          ?      2:bad      +   0.463 *0.537
    17          ?      2:bad      +   0.46  *0.54 
    18          ?      2:bad      +   0.461 *0.539
    19          ?      2:bad      +   0.461 *0.539
    20          ?      2:bad      +   0.471 *0.529
    21          ?      2:bad      +   0.461 *0.539
    22          ?      2:bad      +   0.461 *0.539
    23          ?      2:bad      +   0.461 *0.539
    24          ?      2:bad      +   0.461 *0.539
    25          ?      2:bad      +   0.471 *0.529
    26          ?      2:bad      +   0.47  *0.53 
    27          ?      2:bad      +   0.46  *0.54 
    28          ?      2:bad      +   0.461 *0.539
    29          ?      2:bad      +   0.461 *0.539
    30          ?      2:bad      +   0.471 *0.529
    31          ?      2:bad      +   0.461 *0.539
    32          ?      2:bad      +   0.481 *0.519
    33          ?      2:bad      +   0.471 *0.529
    34          ?     1:good      +  *0.75   0.25 
    35          ?      2:bad      +   0.46  *0.54 
    36          ?      2:bad      +   0.46  *0.54 
    37          ?      2:bad      +   0.46  *0.54 
    38          ?      2:bad      +   0.46  *0.54 
    39          ?      2:bad      +   0.472 *0.528
    40          ?      2:bad      +   0.46  *0.54 
    41          ?      2:bad      +   0.461 *0.539
    42          ?      2:bad      +   0.461 *0.539
    43          ?      2:bad      +   0.46  *0.54 
    44          ?      2:bad      +   0.471 *0.529
    45          ?      2:bad      +   0.46  *0.54 
    46          ?     1:good      +  *0.511  0.489
    47          ?      2:bad      +   0.46  *0.54 
    48          ?      2:bad      +   0.471 *0.529
    49          ?      2:bad      +   0.461 *0.539
    50          ?      2:bad      +   0.471 *0.529
    51          ?      2:bad      +   0.46  *0.54 
    52          ?      2:bad      +   0.461 *0.539
    53          ?      2:bad      +   0.481 *0.519
    54          ?      2:bad      +   0.461 *0.539
    55          ?      2:bad      +   0.461 *0.539
    56          ?      2:bad      +   0.46  *0.54 
    57          ?      2:bad      +   0.461 *0.539
    58          ?      2:bad      +   0.471 *0.529
    59          ?      2:bad      +   0.461 *0.539
    60          ?      2:bad      +   0.461 *0.539
    61          ?      2:bad      +   0.461 *0.539
    62          ?     1:good      +  *0.561  0.439
    63          ?     1:good      +  *0.6    0.4  
    64          ?     1:good      +  *0.61   0.39 
    65          ?      2:bad      +   0.473 *0.527
    66          ?      2:bad      +   0.48  *0.52 
    67          ?      2:bad      +   0.411 *0.589
    68          ?      2:bad      +   0.341 *0.659
    69          ?      2:bad      +   0.393 *0.607
    70          ?      2:bad      +   0.431 *0.569
    71          ?      2:bad      +   0.404 *0.596
    72          ?      2:bad      +   0.363 *0.637
    73          ?      2:bad      +   0.384 *0.616
    74          ?      2:bad      +   0.382 *0.618
    75          ?      2:bad      +   0.41  *0.59 
    76          ?      2:bad      +   0.362 *0.638
    77          ?      2:bad      +   0.32  *0.68 
    78          ?      2:bad      +   0.362 *0.638
    79          ?      2:bad      +   0.391 *0.609
    80          ?      2:bad      +   0.397 *0.603
    81          ?      2:bad      +   0.373 *0.627
    82          ?      2:bad      +   0.373 *0.627
    83          ?      2:bad      +   0.362 *0.638
    84          ?      2:bad      +   0.343 *0.657
    85          ?      2:bad      +   0.301 *0.699
    86          ?      2:bad      +   0.372 *0.628
    87          ?      2:bad      +   0.373 *0.627
    88          ?      2:bad      +   0.372 *0.628
    89          ?      2:bad      +   0.372 *0.628
    90          ?      2:bad      +   0.421 *0.579
    91          ?      2:bad      +   0.377 *0.623
    92          ?      2:bad      +   0.392 *0.608
    93          ?      2:bad      +   0.439 *0.561
    94          ?      2:bad      +   0.433 *0.567
    95          ?      2:bad      +   0.388 *0.612
    96          ?      2:bad      +   0.416 *0.584
    97          ?      2:bad      +   0.362 *0.638
    98          ?      2:bad      +   0.443 *0.557
    99          ?      2:bad      +   0.352 *0.648
   100          ?      2:bad      +   0.482 *0.518
   101          ?      2:bad      +   0.361 *0.639
   102          ?      2:bad      +   0.356 *0.644
   103          ?      2:bad      +   0.368 *0.632
   104          ?      2:bad      +   0.42  *0.58 
