' MinNonzerosPerRow',' NonZeroPatternSymmetryV1',' lowerBandwidth',' InfinityNorm',' ColumnVariance',' DiagonalMean','DiagonalNonZeros ',' DiagonalAverage',solver,class
4,1,768,4,1.005,0,0,0,89565283,good
4,1,768,4,1.005,0,0,0,91036839,good
4,1,768,4,1.005,0,0,0,45869639,good
4,1,768,4,1.005,0,0,0,45869638,good
4,1,768,4,1.005,0,0,0,45869637,good
4,1,768,4,1.005,0,0,0,47942867,good
4,1,768,4,1.005,0,0,0,89269802,good
4,1,768,4,1.005,0,0,0,89269803,good
4,1,768,4,1.005,0,0,0,89269801,good
4,1,768,4,1.005,0,0,0,89269804,good
4,1,768,4,1.005,0,0,0,30870721,good
4,1,768,4,1.005,0,0,0,53302993,good
4,1,768,4,1.005,0,0,0,30870720,good
4,1,768,4,1.005,0,0,0,64278029,good
4,1,768,4,1.005,0,0,0,44526267,good
4,1,768,4,1.005,0,0,0,17734818,good
4,1,768,4,1.005,0,0,0,95762352,good
4,1,768,4,1.005,0,0,0,49834417,good
4,1,768,4,1.005,0,0,0,49834419,good
4,1,768,4,1.005,0,0,0,49834418,good
4,1,768,4,1.005,0,0,0,11256942,good
4,1,768,4,1.005,0,0,0,11256943,good
4,1,768,4,1.005,0,0,0,11256941,good
4,1,768,4,1.005,0,0,0,42851841,good
4,1,768,4,1.005,0,0,0,11256944,good
4,1,768,4,1.005,0,0,0,31459546,good
4,1,768,4,1.005,0,0,0,17887723,good
4,1,768,4,1.005,0,0,0,91845162,good
4,1,768,4,1.005,0,0,0,53362206,good
4,1,768,4,1.005,0,0,0,95762355,good
4,1,768,4,1.005,0,0,0,12321508,good
4,1,768,4,1.005,0,0,0,75830644,good
4,1,768,4,1.005,0,0,0,95762353,good
4,1,768,4,1.005,0,0,0,85483012,good
4,1,768,4,1.005,0,0,0,47942864,good
4,1,768,4,1.005,0,0,0,47942865,good
4,1,768,4,1.005,0,0,0,47942866,good
4,1,768,4,1.005,0,0,0,8520536,good
4,1,768,4,1.005,0,0,0,82456576,good
4,1,768,4,1.005,0,0,0,95762354,good
4,1,768,4,1.005,0,0,0,90783920,good
4,1,768,4,1.005,0,0,0,99720138,good
4,1,768,4,1.005,0,0,0,30870723,good
4,1,768,4,1.005,0,0,0,30870722,good
4,1,768,4,1.005,0,0,0,13323659,good
4,1,768,4,1.005,0,0,0,45869640,good
4,1,768,4,1.005,0,0,0,36564233,good
4,1,768,4,1.005,0,0,0,68908713,good
4,1,768,4,1.005,0,0,0,36564232,good
4,1,768,4,1.005,0,0,0,75830645,good
4,1,768,4,1.005,0,0,0,36564234,good
4,1,768,4,1.005,0,0,0,81986705,good
4,1,768,4,1.005,0,0,0,37052870,good
