@relation 'petsc_data-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R2,4-7,9,11-15,17-20,22-28-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute ' MinNonzerosPerRow' numeric
@attribute ' lowerBandwidth' numeric
@attribute ' ColumnVariance' numeric
@attribute ' DiagonalAverage' numeric
@attribute ' DiagonalNonZeros' numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}

@data
4,768,0.005,0,0,89565283,good
4,768,0.005,0,0,91036839,good
4,768,0.005,0,0,45869639,good
4,768,0.005,0,0,45869638,good
4,768,0.005,0,0,45869637,good
4,768,0.005,0,0,47942867,good
4,768,0.005,0,0,89269802,good
4,768,0.005,0,0,89269803,good
4,768,0.005,0,0,89269801,good
4,768,0.005,0,0,89269804,good
4,768,0.005,0,0,30870721,good
4,768,0.005,0,0,53302993,good
4,768,0.005,0,0,30870720,good
4,768,0.005,0,0,64278029,good
4,768,0.005,0,0,44526267,good
4,768,0.005,0,0,17734818,good
4,768,0.005,0,0,95762352,good
4,768,0.005,0,0,49834417,good
4,768,0.005,0,0,49834419,good
4,768,0.005,0,0,49834418,good
4,768,0.005,0,0,11256942,good
4,768,0.005,0,0,11256943,good
4,768,0.005,0,0,11256941,good
4,768,0.005,0,0,42851841,good
4,768,0.005,0,0,11256944,good
4,768,0.005,0,0,31459546,good
4,768,0.005,0,0,17887723,good
4,768,0.005,0,0,91845162,good
4,768,0.005,0,0,53362206,good
4,768,0.005,0,0,95762355,good
4,768,0.005,0,0,12321508,good
4,768,0.005,0,0,75830644,good
4,768,0.005,0,0,95762353,good
4,768,0.005,0,0,85483012,good
4,768,0.005,0,0,47942864,good
4,768,0.005,0,0,47942865,good
4,768,0.005,0,0,47942866,good
4,768,0.005,0,0,8520536,good
4,768,0.005,0,0,82456576,good
4,768,0.005,0,0,95762354,good
4,768,0.005,0,0,90783920,good
4,768,0.005,0,0,99720138,good
4,768,0.005,0,0,30870723,good
4,768,0.005,0,0,30870722,good
4,768,0.005,0,0,13323659,good
4,768,0.005,0,0,45869640,good
4,768,0.005,0,0,36564233,good
4,768,0.005,0,0,68908713,good
4,768,0.005,0,0,36564232,good
4,768,0.005,0,0,75830645,good
4,768,0.005,0,0,36564234,good
4,768,0.005,0,0,81986705,good
4,768,0.005,0,0,37052870,good
4,768,0.005,0,0,37052871,good
4,768,0.005,0,0,80361466,good
