@relation TestSetBratu+Cavity

@attribute ' MinNonzerosPerRow' numeric
@attribute ' lowerBandwidth' numeric
@attribute ' ColumnVariance' numeric
@attribute ' DiagonalAverage' numeric
@attribute ' DiagonalNonZeros' numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}

@data
1,100,0.00198,3.999248,10000,89565283,?
1,100,0.00198,3.999248,10000,91036839,?
1,100,0.00198,3.999248,10000,45869639,?
1,100,0.00198,3.999248,10000,45869638,?
1,100,0.00198,3.999248,10000,45869637,?
1,100,0.00198,3.999248,10000,47942867,?
1,100,0.00198,3.999248,10000,89269802,?
1,100,0.00198,3.999248,10000,89269803,?
1,100,0.00198,3.999248,10000,89269801,?
1,100,0.00198,3.999248,10000,89269804,?
1,100,0.00198,3.999248,10000,30870721,?
1,100,0.00198,3.999248,10000,53302993,?
1,100,0.00198,3.999248,10000,30870720,?
1,100,0.00198,3.999248,10000,64278029,?
1,100,0.00198,3.999248,10000,44526267,?
1,100,0.00198,3.999248,10000,17734818,?
1,100,0.00198,3.999248,10000,95762352,?
1,100,0.00198,3.999248,10000,49834417,?
1,100,0.00198,3.999248,10000,49834419,?
1,100,0.00198,3.999248,10000,49834418,?
1,100,0.00198,3.999248,10000,11256942,?
1,100,0.00198,3.999248,10000,11256943,?
1,100,0.00198,3.999248,10000,11256941,?
1,100,0.00198,3.999248,10000,42851841,?
1,100,0.00198,3.999248,10000,11256944,?
1,100,0.00198,3.999248,10000,31459546,?
1,100,0.00198,3.999248,10000,17887723,?
1,100,0.00198,3.999248,10000,91845162,?
1,100,0.00198,3.999248,10000,53362206,?
1,100,0.00198,3.999248,10000,95762355,?
1,100,0.00198,3.999248,10000,12321508,?
1,100,0.00198,3.999248,10000,75830644,?
1,100,0.00198,3.999248,10000,95762353,?
1,100,0.00198,3.999248,10000,85483012,?
1,100,0.00198,3.999248,10000,47942864,?
1,100,0.00198,3.999248,10000,47942865,?
1,100,0.00198,3.999248,10000,47942866,?
1,100,0.00198,3.999248,10000,8520536,?
1,100,0.00198,3.999248,10000,82456576,?
1,100,0.00198,3.999248,10000,95762354,?
1,100,0.00198,3.999248,10000,90783920,?
1,100,0.00198,3.999248,10000,99720138,?
1,100,0.00198,3.999248,10000,30870723,?
1,100,0.00198,3.999248,10000,30870722,?
1,100,0.00198,3.999248,10000,13323659,?
1,100,0.00198,3.999248,10000,45869640,?
1,100,0.00198,3.999248,10000,36564233,?
1,100,0.00198,3.999248,10000,68908713,?
1,100,0.00198,3.999248,10000,36564232,?
1,100,0.00198,3.999248,10000,75830645,?
1,100,0.00198,3.999248,10000,36564234,?
1,100,0.00198,3.999248,10000,81986705,?
1,100,0.00198,3.999248,10000,37052870,?
1,100,0.00198,3.999248,10000,37052871,?
1,100,0.00198,3.999248,10000,80361466,?
1,100,0.00198,3.999248,10000,80361467,?
1,100,0.00198,3.999248,10000,80361464,?
1,100,0.00198,3.999248,10000,80361465,?
1,100,0.00198,3.999248,10000,49834420,?
1,100,0.00198,3.999248,10000,1216556,?
1,100,0.00198,3.999248,10000,36564235,?
1,100,0.00198,3.999248,10000,75830647,?
1,100,0.00198,3.999248,10000,75830646,?
1,100,0.00198,3.999248,10000,18524981,?
1,100,0.00198,3.999248,10000,37052869,?
1,100,0.00198,3.999248,10000,37052868,?
1,402,0.005639,3.8812,40000,89565283,?
1,402,0.005639,3.8812,40000,91036839,?
1,402,0.005639,3.8812,40000,45869639,?
1,402,0.005639,3.8812,40000,45869638,?
1,402,0.005639,3.8812,40000,45869637,?
1,402,0.005639,3.8812,40000,47942867,?
1,402,0.005639,3.8812,40000,89269802,?
1,402,0.005639,3.8812,40000,89269803,?
1,402,0.005639,3.8812,40000,89269801,?
1,402,0.005639,3.8812,40000,89269804,?
1,402,0.005639,3.8812,40000,30870721,?
1,402,0.005639,3.8812,40000,53302993,?
1,402,0.005639,3.8812,40000,30870720,?
1,402,0.005639,3.8812,40000,64278029,?
1,402,0.005639,3.8812,40000,44526267,?
1,402,0.005639,3.8812,40000,17734818,?
1,402,0.005639,3.8812,40000,95762352,?
1,402,0.005639,3.8812,40000,49834417,?
1,402,0.005639,3.8812,40000,49834419,?
1,402,0.005639,3.8812,40000,49834418,?
1,402,0.005639,3.8812,40000,11256942,?
1,402,0.005639,3.8812,40000,11256943,?
1,402,0.005639,3.8812,40000,11256941,?
1,402,0.005639,3.8812,40000,42851841,?
1,402,0.005639,3.8812,40000,11256944,?
1,402,0.005639,3.8812,40000,31459546,?
1,402,0.005639,3.8812,40000,17887723,?
1,402,0.005639,3.8812,40000,91845162,?
1,402,0.005639,3.8812,40000,53362206,?
1,402,0.005639,3.8812,40000,95762355,?
1,402,0.005639,3.8812,40000,12321508,?
1,402,0.005639,3.8812,40000,75830644,?
1,402,0.005639,3.8812,40000,95762353,?
1,402,0.005639,3.8812,40000,85483012,?
1,402,0.005639,3.8812,40000,47942864,?
1,402,0.005639,3.8812,40000,47942865,?
1,402,0.005639,3.8812,40000,47942866,?
1,402,0.005639,3.8812,40000,8520536,?
1,402,0.005639,3.8812,40000,82456576,?
1,402,0.005639,3.8812,40000,95762354,?
1,402,0.005639,3.8812,40000,90783920,?
1,402,0.005639,3.8812,40000,99720138,?
1,402,0.005639,3.8812,40000,30870723,?
1,402,0.005639,3.8812,40000,30870722,?
1,402,0.005639,3.8812,40000,13323659,?
1,402,0.005639,3.8812,40000,45869640,?
1,402,0.005639,3.8812,40000,36564233,?
1,402,0.005639,3.8812,40000,68908713,?
1,402,0.005639,3.8812,40000,36564232,?
1,402,0.005639,3.8812,40000,75830645,?
1,402,0.005639,3.8812,40000,36564234,?
1,402,0.005639,3.8812,40000,81986705,?
1,402,0.005639,3.8812,40000,37052870,?
1,402,0.005639,3.8812,40000,37052871,?
1,402,0.005639,3.8812,40000,80361466,?
1,402,0.005639,3.8812,40000,80361467,?
1,402,0.005639,3.8812,40000,80361464,?
1,402,0.005639,3.8812,40000,80361465,?
1,402,0.005639,3.8812,40000,49834420,?
1,402,0.005639,3.8812,40000,1216556,?
1,402,0.005639,3.8812,40000,36564235,?
1,402,0.005639,3.8812,40000,75830647,?
1,402,0.005639,3.8812,40000,75830646,?
1,402,0.005639,3.8812,40000,18524981,?
1,402,0.005639,3.8812,40000,37052869,?
1,402,0.005639,3.8812,40000,37052868,?
