Matrix name, MinNonzerosPerRow, lowerBandwidth, ColumnVariance, DiagonalAverage , DiagonalNonZeros,solver,class
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,89565283,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,91036839,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,45869639,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,45869638,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,45869637,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,47942867,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,89269802,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,89269803,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,89269801,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,89269804,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,30870721,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,53302993,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,30870720,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,64278029,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,44526267,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,17734818,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,95762352,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,49834417,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,49834419,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,49834418,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,11256942,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,11256943,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,11256941,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,42851841,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,11256944,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,31459546,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,17887723,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,91845162,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,53362206,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,95762355,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,12321508,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,75830644,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,95762353,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,85483012,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,47942864,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,47942865,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,47942866,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,8520536,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,82456576,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,95762354,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,90783920,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,99720138,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,30870723,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,30870722,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,13323659,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,45869640,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,36564233,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,68908713,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,36564232,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,75830645,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,36564234,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,81986705,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,37052870,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,37052871,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,80361466,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,80361467,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,80361464,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,80361465,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,49834420,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,1216556,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,36564235,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,75830647,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,75830646,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,18524981,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,37052869,?
bratu_100x100_lambda5p5,1,100,0.00198,3.999248,10000,37052868,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,89565283,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,91036839,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,45869639,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,45869638,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,45869637,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,47942867,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,89269802,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,89269803,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,89269801,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,89269804,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,30870721,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,53302993,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,30870720,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,64278029,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,44526267,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,17734818,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,95762352,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,49834417,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,49834419,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,49834418,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,11256942,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,11256943,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,11256941,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,42851841,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,11256944,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,31459546,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,17887723,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,91845162,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,53362206,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,95762355,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,12321508,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,75830644,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,95762353,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,85483012,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,47942864,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,47942865,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,47942866,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,8520536,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,82456576,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,95762354,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,90783920,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,99720138,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,30870723,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,30870722,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,13323659,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,45869640,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,36564233,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,68908713,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,36564232,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,75830645,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,36564234,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,81986705,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,37052870,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,37052871,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,80361466,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,80361467,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,80361464,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,80361465,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,49834420,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,1216556,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,36564235,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,75830647,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,75830646,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,18524981,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,37052869,?
drivencavity_jac_100x100_lv10_grashof1000,1,402,0.005639,3.8812,40000,37052868,?
