class,solver,' MinNonzerosPerRow',' NonZeroPatternSymmetryV1',' lowerBandwidth',' InfinityNorm',' ColumnVariance',' DiagonalMean','DiagonalNonZeros ',' DiagonalAverage'
good,89565283,4,1,768,4,1.005,0,0,0
good,91036839,4,1,768,4,1.005,0,0,0
good,45869639,4,1,768,4,1.005,0,0,0
good,45869638,4,1,768,4,1.005,0,0,0
good,45869637,4,1,768,4,1.005,0,0,0
good,47942867,4,1,768,4,1.005,0,0,0
good,89269802,4,1,768,4,1.005,0,0,0
good,89269803,4,1,768,4,1.005,0,0,0
good,89269801,4,1,768,4,1.005,0,0,0
good,89269804,4,1,768,4,1.005,0,0,0
good,30870721,4,1,768,4,1.005,0,0,0
good,53302993,4,1,768,4,1.005,0,0,0
good,30870720,4,1,768,4,1.005,0,0,0
good,64278029,4,1,768,4,1.005,0,0,0
good,44526267,4,1,768,4,1.005,0,0,0
good,17734818,4,1,768,4,1.005,0,0,0
good,95762352,4,1,768,4,1.005,0,0,0
good,49834417,4,1,768,4,1.005,0,0,0
good,49834419,4,1,768,4,1.005,0,0,0
good,49834418,4,1,768,4,1.005,0,0,0
good,11256942,4,1,768,4,1.005,0,0,0
good,11256943,4,1,768,4,1.005,0,0,0
good,11256941,4,1,768,4,1.005,0,0,0
good,42851841,4,1,768,4,1.005,0,0,0
good,11256944,4,1,768,4,1.005,0,0,0
good,31459546,4,1,768,4,1.005,0,0,0
good,17887723,4,1,768,4,1.005,0,0,0
good,91845162,4,1,768,4,1.005,0,0,0
good,53362206,4,1,768,4,1.005,0,0,0
good,95762355,4,1,768,4,1.005,0,0,0
good,12321508,4,1,768,4,1.005,0,0,0
good,75830644,4,1,768,4,1.005,0,0,0
good,95762353,4,1,768,4,1.005,0,0,0
good,85483012,4,1,768,4,1.005,0,0,0
good,47942864,4,1,768,4,1.005,0,0,0
good,47942865,4,1,768,4,1.005,0,0,0
good,47942866,4,1,768,4,1.005,0,0,0
good,8520536,4,1,768,4,1.005,0,0,0
good,82456576,4,1,768,4,1.005,0,0,0
good,95762354,4,1,768,4,1.005,0,0,0
good,90783920,4,1,768,4,1.005,0,0,0
good,99720138,4,1,768,4,1.005,0,0,0
good,30870723,4,1,768,4,1.005,0,0,0
good,30870722,4,1,768,4,1.005,0,0,0
good,13323659,4,1,768,4,1.005,0,0,0
good,45869640,4,1,768,4,1.005,0,0,0
good,36564233,4,1,768,4,1.005,0,0,0
good,68908713,4,1,768,4,1.005,0,0,0
good,36564232,4,1,768,4,1.005,0,0,0
good,75830645,4,1,768,4,1.005,0,0,0
good,36564234,4,1,768,4,1.005,0,0,0
good,81986705,4,1,768,4,1.005,0,0,0
good,37052870,4,1,768,4,1.005,0,0,0
good,37052871,4,1,768,4,1.005,0,0,0
good,80361466,4,1,768,4,1.005,0,0,0
good,80361467,4,1,768,4,1.005,0,0,0
good,80361464,4,1,768,4,1.005,0,0,0
good,80361465,4,1,768,4,1.005,0,0,0
good,49834420,4,1,768,4,1.005,0,0,0
good,1216556,4,1,768,4,1.005,0,0,0
good,36564235,4,1,768,4,1.005,0,0,0
good,75830647,4,1,768,4,1.005,0,0,0
good,75830646,4,1,768,4,1.005,0,0,0
good,18524981,4,1,768,4,1.005,0,0,0
good,37052869,4,1,768,4,1.005,0,0,0
good,37052868,4,1,768,4,1.005,0,0,0
bad,89565283,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,91036839,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,45869639,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,45869638,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,45869637,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,47942867,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,89269802,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,89269803,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,89269801,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,89269804,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,30870721,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,53302993,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,30870720,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,64278029,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,44526267,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,17734818,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,95762352,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,49834417,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,49834419,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,49834418,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,11256942,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,11256943,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,11256941,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,42851841,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,11256944,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,31459546,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,17887723,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,91845162,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,53362206,3,0,49,15.85352,1.017864,2.96473,62,2.96473
good,95762355,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,12321508,3,0,49,15.85352,1.017864,2.96473,62,2.96473
good,75830644,3,0,49,15.85352,1.017864,2.96473,62,2.96473
good,95762353,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,85483012,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,47942864,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,47942865,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,47942866,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,8520536,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,82456576,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,95762354,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,90783920,3,0,49,15.85352,1.017864,2.96473,62,2.96473
good,99720138,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,30870723,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,30870722,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,13323659,3,0,49,15.85352,1.017864,2.96473,62,2.96473
bad,45869640,3,0,49,15.85352,1.017864,2.96473,62,2.96473
