Matrix name, MinNonzerosPerRow, NonZeroPatternSymmetryV1, lowerBandwidth, InfinityNorm, ColumnVariance, DiagonalNonZeros, DiagonalAverage 
Hamrle2.mat,2,0,5854,116.097719,1.000084,8,0.000945
Pd.mat,1,0,7844,65894,1.000124,8081,1
add20.mat,2,1,2313,0.995901,1.00006,2395,0.140144
add32.mat,2,1,4029,0.08373,1,4960,0.016568
bayer02.mat,1,0,11975,126000.1273,1,4,0
bayer03.mat,1,0,5499,543846553.8,1,7,0.000163
bwm2000.mat,3,1,1000,121828.2305,2319756.077,2000,45685.5302
cavity02.mat,1,1,102,46.274775,1.003155,243,3.458885
cavity06.mat,1,1,177,28.138523,1.000846,883,3.878567
cavity10.mat,8,0,252,18.903704,1.000603,1923,4.032525
cavity11.mat,1,1,252,23.355583,1.000385,1923,4.032525
cavity16.mat,7,0,327,18.888889,1.000343,3363,4.112334
cavity17.mat,1,1,327,20.038788,1.000219,3363,4.112334
cavity18.mat,7,0,327,22.294793,1.000343,3363,4.112334
cavity19.mat,1,1,327,24.407328,1.000219,3363,4.112334
cavity20.mat,7,0,327,28.038424,1.000343,3363,4.112334
cavity21.mat,1,1,327,32.560731,1.000219,3363,4.112334
cavity22.mat,7,0,327,37.056828,1.000343,3363,4.112334
cdde2.mat,3,1,31,9.095703,1.026568,961,3.970703
cdde4.mat,3,1,31,9.046875,1.026167,961,3.921875
cdde6.mat,3,1,31,8.880859,1.024839,961,3.755859
ck400.mat,2,0,203,6.325838,1.000705,400,0.542047
ck656.mat,2,0,331,6.325838,1.000431,656,0.525572
dw4096.mat,3,0,4160,117.591045,1.000324,8192,4.84332
epb0.mat,2,0,1793,0.653142,1.000004,1794,0.174891
epb1.mat,3,0,140,0.275538,1,14734,0.109355
ex23.mat,5,0,197,298647.5866,1393993.877,1008,19724.4743
ex35.mat,1,0,164,42935580.82,1,19716,622763.9567
ex36.mat,4,0,164,323.114334,2.97338,2575,25.680864
ex7.mat,6,0,276,2785983467,1.00315,1633,110151513.1
extr1.mat,1,0,2481,742044.3213,1.000705,2,0.002918
fd15.mat,1,0,10937,304505223.5,10884.89293,0,0
fd18.mat,1,0,15713,763132121.6,47985.71838,0,0
fpga_trans_02.mat,1,1,1085,5.764919,1.000163,1154,0.260603
fs_183_1.mat,1,0,181,822724342.9,9.291826,183,4554751.261
fs_183_3.mat,2,0,181,845851054.5,8.212208,183,4679322.563
fs_183_4.mat,2,0,181,815706447.4,5.719061,183,4516069.717
fs_183_6.mat,1,0,181,873139178.2,7.564391,183,4829454.643
fs_541_2.mat,1,0,378,809250.5867,26665412.88,541,1502.254087
fs_541_3.mat,1,0,378,6084635.896,66504440615,541,11049.93993
fs_680_1.mat,1,0,560,7.74563E+13,8.6786E+23,680,6.05559E+11
fs_680_2.mat,1,0,560,7.74249E+13,8.66598E+23,680,5.97697E+11
fs_680_3.mat,1,0,560,7.74242E+13,8.66549E+23,680,5.97015E+11
garon1.mat,2,0,3171,44.305574,1.031436,2775,7.360522
impcol_e.mat,1,0,92,5001.5,1.004444,56,0.184985
lhr02.mat,1,0,1120,21,1.000339,50,0.013544
mcfe.mat,17,0,82,2.47699E+17,1.34646E+11,765,1.01311E+15
olm2000.mat,2,0,2,406091.0091,21137468.77,2000,10150.29275
olm5000.mat,2,0,2,2535051.722,329408270.3,5000,63374.3105
qh882.mat,1,0,518,6.6841E+12,367410029.6,498,40832.00056
rw5151.mat,1,0,100,1,1.000097,0,0
saylr1.mat,3,1,14,612280081.2,4.147612,238,11936772.89
sherman3.mat,1,1,385,6898144.6,1,5005,14610.15519
tub1000.mat,3,1,2,200212.3139,20061419.36,1000,99601.38852
utm3060.mat,1,0,254,6.351243,1.000163,3060,0.561569
west0381.mat,1,0,363,1523.319184,1.002633,1,0.000001Matrix name, MinNonzerosPerRow, NonZeroPatternSymmetryV1, lowerBandwidth, InfinityNorm, ColumnVariance, DiagonalNonZeros, DiagonalAverage 
