Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, AvgDiagDist, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign, DiagonalNonZeros 
494_bus.mat, 494, 1666.000000, 10.000000, 2.000000, 3.372470, 445300.679143, 1.000000, 81.500000, 1.000000, 223749.667445, 223749.667445, 40015.422479, 40015.422479, 57513.159617, 40015.422479, 57513.159617, 0.000000, 0.000000, 452.934549, 1.000000, 1.000000, 1.076764, 9986.148979, 428.000000, 428.000000, 452.934549, -1.000000, 494.000000 
662_bus.mat, 662, 2474.000000, 10.000000, 2.000000, 3.737160, 147443.344013, 1.000000, 168.666667, 1.000000, 74426.006569, 74426.006569, 4032.258030, 4032.258030, 7360.034296, 4032.258030, 7360.034296, 0.000000, 0.000000, 112.425992, 1.000000, 1.000000, 1.945713, 3059.662200, 335.000000, 335.000000, 112.425992, -1.000000, 662.000000 
685_bus.mat, 685, 3249.000000, 13.000000, 2.000000, 4.743066, 397546.836190, 1.000000, 4.000000, 1.000000, 211735.245445, 211735.245445, 26447.354980, 26447.354980, 40139.092834, 26447.354980, 40139.092834, 0.000000, 0.000000, 309.102548, 1.000000, 1.000000, 1.114716, 1001060.657204, 550.000000, 550.000000, 309.102548, -1.000000, 685.000000 
Alemdar.mat, 6245, 42581.000000, 10.000000, 1.000000, 6.818415, 333269.000000, 1.000000, 0.000000, 1.000000, 6245.000000, 6245.000000, 82.000000, 82.000000, 1717.399488, 82.000000, 1717.399488, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000008, 1.000160, 5912.000000, 5912.000000, 1.000000, -1.000000, 6245.000000 
G1.mat, 800, 38352.000000, 67.000000, 27.000000, 47.940000, 38352.000000, 1.000000, 368.531915, 1.000000, 0.000000, 0.000000, 67.000000, 67.000000, 195.836667, 67.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000058, 1.055368, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G10.mat, 800, 38352.000000, 70.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 396.950000, 1.000000, 0.000000, 0.000000, 70.000000, 70.000000, 195.836667, 70.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000089, 1.050006, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G11.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 202.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.005006, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G12.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 204.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.005006, 784.000000, 784.000000, 0.000000, 0.000000, 0.000000 
G13.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 208.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.005000, 768.000000, 768.000000, 0.000000, 0.000000, 0.000000 
G14.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 260.510870, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 132.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.101902, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G15.mat, 800, 9322.000000, 153.000000, 4.000000, 11.652500, 9322.000000, 1.000000, 285.230769, 1.000000, 0.000000, 0.000000, 153.000000, 153.000000, 96.550505, 153.000000, 96.550505, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.088104, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G16.mat, 800, 9344.000000, 123.000000, 5.000000, 11.680000, 9344.000000, 1.000000, 300.074766, 1.000000, 0.000000, 0.000000, 123.000000, 123.000000, 96.664368, 123.000000, 96.664368, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.116006, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G17.mat, 800, 9334.000000, 143.000000, 5.000000, 11.667500, 9334.000000, 1.000000, 269.456311, 1.000000, 0.000000, 0.000000, 143.000000, 143.000000, 96.612629, 143.000000, 96.612629, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.112314, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G18.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 260.510870, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 132.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.115144, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G19.mat, 800, 9322.000000, 153.000000, 4.000000, 11.652500, 9322.000000, 1.000000, 285.230769, 1.000000, 0.000000, 0.000000, 153.000000, 153.000000, 96.550505, 153.000000, 96.550505, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.097597, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G2.mat, 800, 38352.000000, 66.000000, 28.000000, 47.940000, 38352.000000, 1.000000, 317.452381, 1.000000, 0.000000, 0.000000, 66.000000, 66.000000, 195.836667, 66.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000071, 1.049806, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G20.mat, 800, 9344.000000, 123.000000, 5.000000, 11.680000, 9344.000000, 1.000000, 300.074766, 1.000000, 0.000000, 0.000000, 123.000000, 123.000000, 96.664368, 123.000000, 96.664368, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.133841, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G21.mat, 800, 9334.000000, 143.000000, 5.000000, 11.667500, 9334.000000, 1.000000, 269.456311, 1.000000, 0.000000, 0.000000, 143.000000, 143.000000, 96.612629, 143.000000, 96.612629, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.128559, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G22.mat, 2000, 39980.000000, 37.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1138.909091, 1.000000, 0.000000, 0.000000, 37.000000, 37.000000, 199.949994, 37.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.010884, 1986.000000, 1986.000000, 0.000000, 0.000000, 0.000000 
G23.mat, 2000, 39980.000000, 36.000000, 4.000000, 19.990000, 39980.000000, 1.000000, 991.347826, 1.000000, 0.000000, 0.000000, 36.000000, 36.000000, 199.949994, 36.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000004, 1.011373, 1984.000000, 1984.000000, 0.000000, 0.000000, 0.000000 
G24.mat, 2000, 39980.000000, 38.000000, 6.000000, 19.990000, 39980.000000, 1.000000, 991.850000, 1.000000, 0.000000, 0.000000, 38.000000, 38.000000, 199.949994, 38.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000007, 1.009905, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G25.mat, 2000, 39980.000000, 39.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 1074.850000, 1.000000, 0.000000, 0.000000, 39.000000, 39.000000, 199.949994, 39.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.009905, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G26.mat, 2000, 39980.000000, 40.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1107.263158, 1.000000, 0.000000, 0.000000, 40.000000, 40.000000, 199.949994, 40.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000004, 1.009414, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G27.mat, 2000, 39980.000000, 37.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1138.909091, 1.000000, 0.000000, 0.000000, 37.000000, 37.000000, 199.949994, 37.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.011005, 1986.000000, 1986.000000, 0.000000, 0.000000, 0.000000 
G28.mat, 2000, 39980.000000, 35.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 947.956522, 1.000000, 0.000000, 0.000000, 35.000000, 35.000000, 199.949994, 35.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.011504, 1985.000000, 1985.000000, 0.000000, 0.000000, 0.000000 
G29.mat, 2000, 39980.000000, 38.000000, 6.000000, 19.990000, 39980.000000, 1.000000, 991.850000, 1.000000, 0.000000, 0.000000, 38.000000, 38.000000, 199.949994, 38.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000007, 1.009969, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G3.mat, 800, 38352.000000, 69.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 379.902439, 1.000000, 0.000000, 0.000000, 69.000000, 69.000000, 195.836667, 69.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000073, 1.048684, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G30.mat, 2000, 39980.000000, 39.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 1074.850000, 1.000000, 0.000000, 0.000000, 39.000000, 39.000000, 199.949994, 39.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.010005, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G31.mat, 2000, 39980.000000, 40.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1107.263158, 1.000000, 0.000000, 0.000000, 40.000000, 40.000000, 199.949994, 40.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.009503, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G32.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 505.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.002000, 1980.000000, 1980.000000, 0.000000, 0.000000, 0.000000 
G33.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 506.250000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.002001, 1975.000000, 1975.000000, 0.000000, 0.000000, 0.000000 
G34.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 510.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.001997, 1960.000000, 1960.000000, 0.000000, 0.000000, 0.000000 
G35.mat, 2000, 23556.000000, 210.000000, 4.000000, 11.778000, 23556.000000, 1.000000, 625.636364, 1.000000, 0.000000, 0.000000, 210.000000, 210.000000, 153.479640, 210.000000, 153.479640, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.037036, 1996.000000, 1996.000000, 0.000000, 0.000000, 0.000000 
G36.mat, 2000, 23532.000000, 326.000000, 4.000000, 11.766000, 23532.000000, 1.000000, 677.613861, 1.000000, 0.000000, 0.000000, 326.000000, 326.000000, 153.401434, 326.000000, 153.401434, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.047974, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G37.mat, 2000, 23570.000000, 279.000000, 4.000000, 11.785000, 23570.000000, 1.000000, 727.051282, 1.000000, 0.000000, 0.000000, 279.000000, 279.000000, 153.525242, 279.000000, 153.525242, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.055105, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G38.mat, 2000, 23558.000000, 249.000000, 4.000000, 11.779000, 23558.000000, 1.000000, 607.621622, 1.000000, 0.000000, 0.000000, 249.000000, 249.000000, 153.486156, 249.000000, 153.486156, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.018167, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G39.mat, 2000, 23556.000000, 210.000000, 4.000000, 11.778000, 23556.000000, 1.000000, 625.636364, 1.000000, 0.000000, 0.000000, 210.000000, 210.000000, 153.479640, 210.000000, 153.479640, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000002, 1.038517, 1996.000000, 1996.000000, 0.000000, 0.000000, 0.000000 
