Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign, DiagonalNonZeros 
494_bus.mat, 494, 1666.000000, 10.000000, 2.000000, 3.372470, 445300.679143, 1.000000, 1.000000, 223749.667445, 223749.667445, 40015.422479, 40015.422479, 57513.159617, 2198.665256, 57513.159617, 0.000000, 0.000000, 452.934549, 1.000000, 1.000000, 1.076764, 1.076764, 428.000000, 428.000000, 452.934549, -1.000000, 494.000000 
662_bus.mat, 662, 2474.000000, 10.000000, 2.000000, 3.737160, 147443.344013, 1.000000, 1.000000, 74426.006569, 74426.006569, 4032.258030, 4032.258030, 7360.034296, 1408.668030, 7360.034296, 0.000000, 0.000000, 112.425992, 1.000000, 1.000000, 1.945713, 1.945713, 335.000000, 335.000000, 112.425992, -1.000000, 662.000000 
685_bus.mat, 685, 3249.000000, 13.000000, 2.000000, 4.743066, 397546.836190, 1.000000, 1.000000, 211735.245445, 211735.245445, 26447.354980, 26447.354980, 40139.092834, 25923.645020, 40139.092834, 0.000000, 0.000000, 309.102548, 1.000000, 1.000000, 1.114716, 1.114716, 550.000000, 550.000000, 309.102548, -1.000000, 685.000000 
Alemdar.mat, 6245, 42581.000000, 10.000000, 1.000000, 6.818415, 333269.000000, 1.000000, 1.000000, 6245.000000, 6245.000000, 82.000000, 82.000000, 1717.399488, 82.000000, 1717.399488, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000008, 1.000008, 5912.000000, 5912.000000, 1.000000, -1.000000, 6245.000000 
G1.mat, 800, 38352.000000, 67.000000, 27.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 67.000000, 67.000000, 195.836667, 67.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000058, 1.000058, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G10.mat, 800, 38352.000000, 70.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 70.000000, 70.000000, 195.836667, 22.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000089, 1.000089, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G11.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G12.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 784.000000, 784.000000, 0.000000, 0.000000, 0.000000 
G13.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 768.000000, 768.000000, 0.000000, 0.000000, 0.000000 
G14.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 132.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G15.mat, 800, 9322.000000, 153.000000, 4.000000, 11.652500, 9322.000000, 1.000000, 1.000000, 0.000000, 0.000000, 153.000000, 153.000000, 96.550505, 153.000000, 96.550505, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G16.mat, 800, 9344.000000, 123.000000, 5.000000, 11.680000, 9344.000000, 1.000000, 1.000000, 0.000000, 0.000000, 123.000000, 123.000000, 96.664368, 123.000000, 96.664368, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G17.mat, 800, 9334.000000, 143.000000, 5.000000, 11.667500, 9334.000000, 1.000000, 1.000000, 0.000000, 0.000000, 143.000000, 143.000000, 96.612629, 143.000000, 96.612629, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G18.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 18.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
