Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, AvgDiagDist, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign, DiagonalNonZeros 
494_bus.mat,494,1666,10,2,3.37247,445300.6791,1,81.5,1,223749.6674,223749.6674,40015.42248,40015.42248,57513.15962,2198.665256,57513.15962,0,0,452.934549,1,1,1.076764,1.076764,428,428,452.934549,-1,494
662_bus.mat,662,2474,10,2,3.73716,147443.344,1,168.666667,1,74426.00657,74426.00657,4032.25803,4032.25803,7360.034296,1408.66803,7360.034296,0,0,112.425992,1,1,1.945713,1.945713,335,335,112.425992,-1,662
685_bus.mat,685,3249,13,2,4.743066,397546.8362,1,4,1,211735.2454,211735.2454,26447.35498,26447.35498,40139.09283,25923.64502,40139.09283,0,0,309.102548,1,1,1.114716,1.114716,550,550,309.102548,-1,685
add20.mat,2395,13151,84,2,5.491023,590.297139,0,797.391304,1,335.645543,335.645543,0.995896,0.995901,10.414751,0.285892,10.414751,0.000218,0.001427,0.140144,0,0,1,1,2313,2313,0.140144,-1,2395
add32.mat,4960,19848,15,2,4.001613,139.653914,0,1927.6,1,82.176002,82.176002,0.08414,0.08373,1.567941,0.018265,1.567939,0.000108,0.002616,0.016568,0,0,1,1,4029,4029,0.016568,-1,4960
adder_dcop_01.mat,1813,11156,1310,1,6.153337,18.623795,0,618.25,0,0.206396,0.206396,1.075141,1.10685,4.242802,1.002393,4.242797,0.002506,0.006482,0.000114,0,0,1,1,1763,1801,0.000114,-1,1801
adder_dcop_02.mat,1813,11246,1310,1,6.202978,23.565497,0,618.25,0,2.518173,2.518173,1.869179,1.841591,4.263426,1.000712,4.263353,0.012748,0.025092,0.001389,0,0,1,1,1763,1801,0.001389,-1,1801
adder_dcop_03.mat,1813,11148,1310,1,6.148924,34.466458,0,618.25,0,12.170786,12.170786,3.866731,3.867343,6.909749,3.86635,6.909684,0.018813,0.030082,0.006713,0,0,1,1,1763,1801,0.006713,-1,1801
adder_dcop_04.mat,1813,11107,1310,1,6.12631,29.778403,0,618.25,0,7.069041,7.069041,2.957396,2.99671,4.579824,1.37441,4.579728,0.01491,0.0296,0.003899,0,0,1.000001,1.000001,1763,1800,0.003899,-1,1801
adder_dcop_05.mat,1813,11097,1310,1,6.120794,43.244593,0,618.25,0,15.95761,15.95761,7.713373,7.740015,7.469555,5.059673,7.469502,0.010918,0.028164,0.008802,0,0,1.000004,1.000004,1763,1800,0.008802,-1,1801
